2019-03-29,A791196
2014-04-29,A665173
2016-09-26,A730275
2015-02-14,A694506
2016-03-02,A720844
2015-10-27,A710347
2015-07-24,A647791
2019-03-12,A790182
2014-04-18,A648872
2014-01-29,A671559
2019-12-06,A689585
2019-08-26,A782636
2018-11-02,A782713
2013-12-04,A626646
2019-09-12,A803374
2019-12-04,A809440
2019-01-14,A787022
2018-12-03,A783898
2018-09-25,A777522
2019-12-01,A771552
2019-03-30,A790439
2015-11-24,A713983
2013-12-07,A667538
2019-08-29,A695702
2018-12-05,A783271
2018-11-25,A707669
2019-09-11,A782636
2018-09-26,A776820
2014-12-21,A680120
2019-03-03,A773133
2019-03-23,A790589
2016-05-11,A725891
2019-11-18,A808459
2018-12-14,A785977
2019-06-25,A760400
2015-07-21,A707464
2015-11-19,A716099
2013-12-31,A669270
2013-12-31,A669269
2014-10-20,A607663
2018-12-08,A776883
2016-10-02,A730953
2019-09-29,A799095
2019-06-15,A786944
2019-08-11,A780901
2019-09-26,A803103
2019-09-26,A803105
2019-09-26,A803108
2014-10-26,A679685
2019-09-24,A801032
2019-11-22,A802782
2016-02-04,A712213
2017-08-06,A754169
2019-09-25,A795735
2016-02-16,A720243
2016-12-14,A739932
2019-05-16,A786174
2013-12-10,A668772
2019-03-16,A502352
2019-03-16,A489405
2016-04-26,A724499
2019-08-16,A766869
2015-08-21,A708812
2015-08-06,A709032
2015-11-03,A713752
2015-11-03,A713753
2013-12-12,A668790
2019-05-19,A787490
2015-02-22,A696791
2016-04-20,A724483
2019-01-05,A746816
2015-11-12,A70949312
2019-03-21,A779516
2019-08-31,A801559
2019-08-31,A801560
2019-08-31,A801561
2019-05-07,A791529
2015-10-29,A552447
2018-11-02,A782714
2015-08-07,A707317
2019-03-30,A780901
2019-10-13,A796880
2019-04-04,A791644
2019-01-19,A787180
2019-05-27,A706178
2019-06-26,A797746
2019-02-25,A787268
2019-01-12,A786822
2019-01-12,A787005
2019-01-12,A786960
2019-01-12,A786967
2019-01-12,A781838
2019-01-12,A786938
2015-11-04,A715085
2019-06-03,A783086
2019-05-15,A794065
2019-01-08,A782672
2019-10-10,A805592
2019-10-10,A805594
2019-10-10,A681762
2019-07-24,A794557
2015-10-21,A714040
2019-04-02,A789866
2016-12-20,A740054
2015-11-24,A715817
2015-11-03,A715128
2016-01-31,A719927
2019-11-20,A708734
2019-08-17,A780901
2019-08-17,A731452
2014-05-05,A666110
2019-11-15,A806347
2019-11-15,A806348
2019-11-15,A806349
2018-11-12,A780167
2016-05-03,A721064
2013-12-11,A664840
2019-04-08,A791742
2014-05-10,A669123
